Date,Country,New Cases,Cumulative Cases,7 Day Moving Average,Infection Rate,Deaths,Cumulative Deaths,7 Day Moving Average,Death Rate,Speed,Acceleration,Jerk,1 Day Persistence,7 Day Persistence
10/15/2020,HI,99,13872,91.42857143,6.992157483,10,183,2.857142857,0.706278534,6.457403736,-0.09080724,0.131166013,0.239847216,7.064662735
10/22/2020,HI,77,14427,79.28571429,5.438344709,14,203,2.857142857,0.988789947,5.599779803,-0.221973253,-0.494394974,0.213238588,7.031701633
10/29/2020,HI,61,15039,87.42857143,4.308299055,-2,213,1.428571429,-0.141255707,6.174892323,-0.161435093,0.080717547,0.232086366,6.09780376
11/5/2020,HI,155,15686,92.42857143,10.94731727,0,219,0.857142857,0,6.52803159,0.948431174,0.716368227,0.072062133,7.279155149
11/12/2020,HI,117,16437,107.2857143,8.263458844,0,222,0.428571429,0,7.577359697,-0.383408347,-0.292601107,0.079411105,7.812813868
10/1/2020,IA,1038,86634,794.7142857,32.89942854,16,1360,8.285714286,0.507120286,25.18848348,-0.498064566,-0.878404781,0.940844309,29.79531965
10/8/2020,IA,1261,92145,787.2857143,39.96741752,6,1421,8.714285714,0.190170107,24.95303478,1.009712712,1.77944886,0.876993603,27.42865518
10/15/2020,IA,1333,98717,938.8571429,42.24945881,9,1506,12.14285714,0.285255161,29.75709391,0.326005898,-0.108668633,1.077998944,27.17226653
10/22/2020,IA,1435,105625,986.8571429,45.48235063,17,1601,13.57142857,0.538815304,31.27845477,0.461841689,-0.140363651,1.128747818,32.40358113
10/29/2020,IA,1940,114982,1336.714286,61.48833465,11,1693,13.14285714,0.348645196,42.36718316,2.286569146,-0.43920239,1.468068716,34.06024626
11/5/2020,IA,3992,130732,2250,126.5265113,15,1802,15.57142857,0.475425268,71.31379019,9.291168093,7.049877544,0.852812347,50.0954131
11/12/2020,IA,3650,155603,3553,115.6868152,31,1930,18.28571429,0.982545554,112.6123985,-1.548528015,-10.69933246,1.13879029,85.3490614
10/1/2020,ID,614,42048,472.1428571,34.3580116,5,469,2.142857143,0.279788368,26.4200159,1.742681835,1.223074866,0.903878921,23.06800191
10/8/2020,ID,671,45753,529.2857143,37.547599,8,500,4.428571429,0.447661389,29.61759725,0.455655342,-0.73544371,1.068140688,28.76971559
10/15/2020,ID,645,49892,591.2857143,36.09269948,4,516,2.285714286,0.223830694,33.08697301,-0.207842788,0.399697669,1.219519179,32.25167815
10/22/2020,ID,987,55650,822.5714286,55.23022386,11,546,4.285714286,0.61553441,46.02918353,2.733932054,0.423679529,1.585814135,36.02960752
10/29/2020,ID,862,61785,876.4285714,48.23551466,14,599,7.571428571,0.783407431,49.04290395,-0.999244172,-1.071189752,1.83293879,50.12285095
11/5/2020,ID,1290,68314,932.7142857,72.18539896,17,664,9.285714286,0.951280451,52.19252158,3.421412044,1.047207892,0.670164153,57.87582019
11/12/2020,ID,1693,77121,1258.142857,94.73634143,19,733,9.857142857,1.063195799,70.40274736,3.22156321,3.045696235,0.670152937,62.4645348
10/1/2020,IL,2166,297929,2051.428571,17.09304448,24,8940,23.71428571,0.189396615,16.18890112,-0.102589833,-0.581718174,0.596723099,16.28688964
10/8/2020,IL,3059,313439,2215.714286,24.14017685,32,9159,31.28571429,0.25252882,17.48536604,1.006733196,0.60426539,0.603577713,17.62868284
10/15/2020,IL,4015,334658,3031.285714,31.68447534,53,9373,30.57142857,0.418250858,23.92146886,1.077756927,0.816209221,0.836717193,19.04045061
10/22/2020,IL,4942,363746,4155.428571,38.99991959,42,9647,39.14285714,0.331444076,32.79267101,1.045063463,-0.623430524,1.16284819,26.0489569
10/29/2020,IL,6363,400171,5203.571429,50.21377748,56,9945,42.57142857,0.441925434,41.06411721,1.6019797,-0.391194198,1.445415221,35.70913137
11/5/2020,IL,9935,453750,7654.142857,78.40230698,97,10313,52.57142857,0.765477985,60.40286441,4.026932785,2.41706156,0.75355685,48.53788555
11/12/2020,IL,12702,536542,11827.42857,100.2381584,48,10846,76.14285714,0.378793229,93.33645552,3.119407339,-2.651552606,0.899942753,72.29075569
10/1/2020,IN,1157,121176,991.4285714,17.18601252,13,3645,13.85714286,0.193101264,14.72662389,0.547473914,0.033951871,0.519352485,12.91689195
10/8/2020,IN,1450,129677,1214.428571,21.53821793,15,3742,13.85714286,0.222809151,18.03905327,0.621743631,-0.074269717,0.637959473,16.03635601
10/15/2020,IN,1943,141212,1647.857143,28.86121203,28,3864,17.42857143,0.415910415,24.47717674,1.046142014,1.292293076,0.858229593,19.64338076
10/22/2020,IN,2850,155246,2004.857143,42.3337387,42,4065,28.71428571,0.623865623,29.78003453,1.924646667,0.721477251,1.020284357,26.65408741
10/29/2020,IN,3618,172730,2497.714286,53.74156723,33,4260,27.85714286,0.490180132,37.10090664,1.62968979,-0.101855612,1.299236178,32.428562
11/5/2020,IN,4412,196176,3349.428571,65.53559829,47,4511,35.85714286,0.69813534,49.75222243,1.68486158,-0.755429122,0.684108412,43.83802431
11/12/2020,IN,6591,230965,4969.857143,97.90234097,51,4813,43.14285714,0.757551114,73.82197672,4.623820382,1.7845952,0.690272854,59.54396023
10/1/2020,KS,0,59749,646.1428571,0,0,678,8.142857143,0,22.17896379,0,0.720828582,0.812368865,23.25974929
10/8/2020,KS,0,63952,600.4285714,0,0,723,6.428571429,0,20.60981313,0,-0.608045879,0.754894171,24.1514798
10/15/2020,KS,0,69155,743.2857143,0,0,838,16.42857143,0,25.51340893,0,-0.240276194,0.934502587,22.44277462
